2015-12-23 05:35:56.714824,Mazagaon,PM10,116
2015-12-23 05:35:56.714824,Mazagaon,PM2.5,211
2015-12-23 05:35:56.714824,Mazagaon,NO2,172
2015-12-23 05:35:56.714824,Mazagaon,CO,29
2015-12-23 05:35:56.714824,Mazagaon,O3,70
2015-12-23 05:35:56.714824,Worali,PM10,131
2015-12-23 05:35:56.714824,Worali,PM2.5,245
2015-12-23 05:35:56.714824,Worali,NO2,45
2015-12-23 05:35:56.714824,Worali,CO,29
2015-12-23 05:35:56.714824,Worali,O3,21
2015-12-23 05:35:56.714824,BKC,PM10,126
2015-12-23 05:35:56.714824,BKC,PM2.5,232
2015-12-23 05:35:56.714824,BKC,NO2,158
2015-12-23 05:35:56.714824,BKC,CO,29
2015-12-23 05:35:56.714824,BKC,O3,22
2015-12-23 05:35:56.714824,Borivali,PM10,134
2015-12-23 05:35:56.714824,Borivali,PM2.5,297
2015-12-23 05:35:56.714824,Borivali,NO2,67
2015-12-23 05:35:56.714824,Borivali,CO,29
2015-12-23 05:35:56.714824,Borivali,O3,7
2015-12-23 05:35:56.714824,Chembur,PM10,159
2015-12-23 05:35:56.714824,Chembur,PM2.5,283
2015-12-23 05:35:56.714824,Chembur,NO2,60
2015-12-23 05:35:56.714824,Chembur,CO,29
2015-12-23 05:35:56.714824,Chembur,O3,8
2015-12-23 05:35:56.714824,Andheri,PM10,177
2015-12-23 05:35:56.714824,Andheri,PM2.5,326
2015-12-23 05:35:56.714824,Andheri,NO2,74
2015-12-23 05:35:56.714824,Andheri,CO,29
2015-12-23 05:35:56.714824,Andheri,O3,39
2015-12-23 05:35:56.714824,Malad,PM10,163
2015-12-23 05:35:56.714824,Malad,PM2.5,327
2015-12-23 05:35:56.714824,Malad,NO2,193
2015-12-23 05:35:56.714824,Malad,CO,29
2015-12-23 05:35:56.714824,Malad,O3,10
2015-12-23 05:35:56.714824,Bhandup,PM10,126
2015-12-23 05:35:56.714824,Bhandup,PM2.5,201
2015-12-23 05:35:56.714824,Bhandup,NO2,67
2015-12-23 05:35:56.714824,Bhandup,CO,59
2015-12-23 05:35:56.714824,Bhandup,O3,20
2015-12-23 05:35:56.714824,Colaba,PM10,112
2015-12-23 05:35:56.714824,Colaba,PM2.5,146
2015-12-23 05:35:56.714824,Colaba,NO2,19
2015-12-23 05:35:56.714824,Colaba,CO,29
2015-12-23 05:35:56.714824,Colaba,O3,24
2015-12-23 05:37:06.666282,Mazagaon,PM10,116
2015-12-23 05:37:06.666282,Mazagaon,PM2.5,211
2015-12-23 05:37:06.666282,Mazagaon,NO2,172
2015-12-23 05:37:06.666282,Mazagaon,CO,29
2015-12-23 05:37:06.666282,Mazagaon,O3,70
2015-12-23 05:37:06.666282,Worali,PM10,131
2015-12-23 05:37:06.666282,Worali,PM2.5,245
2015-12-23 05:37:06.666282,Worali,NO2,45
2015-12-23 05:37:06.666282,Worali,CO,29
2015-12-23 05:37:06.666282,Worali,O3,21
2015-12-23 05:37:06.666282,BKC,PM10,126
2015-12-23 05:37:06.666282,BKC,PM2.5,232
2015-12-23 05:37:06.666282,BKC,NO2,158
2015-12-23 05:37:06.666282,BKC,CO,29
2015-12-23 05:37:06.666282,BKC,O3,22
2015-12-23 05:37:06.666282,Borivali,PM10,134
2015-12-23 05:37:06.666282,Borivali,PM2.5,297
2015-12-23 05:37:06.666282,Borivali,NO2,67
2015-12-23 05:37:06.666282,Borivali,CO,29
2015-12-23 05:37:06.666282,Borivali,O3,7
2015-12-23 05:37:06.666282,Chembur,PM10,159
2015-12-23 05:37:06.666282,Chembur,PM2.5,283
2015-12-23 05:37:06.666282,Chembur,NO2,60
2015-12-23 05:37:06.666282,Chembur,CO,29
2015-12-23 05:37:06.666282,Chembur,O3,8
2015-12-23 05:37:06.666282,Andheri,PM10,177
2015-12-23 05:37:06.666282,Andheri,PM2.5,326
2015-12-23 05:37:06.666282,Andheri,NO2,74
2015-12-23 05:37:06.666282,Andheri,CO,29
2015-12-23 05:37:06.666282,Andheri,O3,39
2015-12-23 05:37:06.666282,Malad,PM10,163
2015-12-23 05:37:06.666282,Malad,PM2.5,327
2015-12-23 05:37:06.666282,Malad,NO2,193
2015-12-23 05:37:06.666282,Malad,CO,29
2015-12-23 05:37:06.666282,Malad,O3,10
2015-12-23 05:37:06.666282,Bhandup,PM10,126
2015-12-23 05:37:06.666282,Bhandup,PM2.5,201
2015-12-23 05:37:06.666282,Bhandup,NO2,67
2015-12-23 05:37:06.666282,Bhandup,CO,59
2015-12-23 05:37:06.666282,Bhandup,O3,20
2015-12-23 05:37:06.666282,Colaba,PM10,112
2015-12-23 05:37:06.666282,Colaba,PM2.5,146
2015-12-23 05:37:06.666282,Colaba,NO2,19
2015-12-23 05:37:06.666282,Colaba,CO,29
2015-12-23 05:37:06.666282,Colaba,O3,24
2015-12-23 08:00:03.640468,Mazagaon,PM10,116
2015-12-23 08:00:03.640468,Mazagaon,PM2.5,211
2015-12-23 08:00:03.640468,Mazagaon,NO2,172
2015-12-23 08:00:03.640468,Mazagaon,CO,29
2015-12-23 08:00:03.640468,Mazagaon,O3,70
2015-12-23 08:00:03.640468,Worali,PM10,134
2015-12-23 08:00:03.640468,Worali,PM2.5,259
2015-12-23 08:00:03.640468,Worali,NO2,48
2015-12-23 08:00:03.640468,Worali,CO,29
2015-12-23 08:00:03.640468,Worali,O3,87
2015-12-23 08:00:03.640468,BKC,PM10,129
2015-12-23 08:00:03.640468,BKC,PM2.5,242
2015-12-23 08:00:03.640468,BKC,NO2,160
2015-12-23 08:00:03.640468,BKC,CO,29
2015-12-23 08:00:03.640468,BKC,O3,33
2015-12-23 08:00:03.640468,Borivali,PM10,141
2015-12-23 08:00:03.640468,Borivali,PM2.5,300
2015-12-23 08:00:03.640468,Borivali,NO2,74
2015-12-23 08:00:03.640468,Borivali,CO,29
2015-12-23 08:00:03.640468,Borivali,O3,76
2015-12-23 08:00:03.640468,Chembur,PM10,173
2015-12-23 08:00:03.640468,Chembur,PM2.5,306
2015-12-23 08:00:03.640468,Chembur,NO2,60
2015-12-23 08:00:03.640468,Chembur,CO,29
2015-12-23 08:00:03.640468,Chembur,O3,99
2015-12-23 08:00:03.640468,Andheri,PM10,177
2015-12-23 08:00:03.640468,Andheri,PM2.5,326
2015-12-23 08:00:03.640468,Andheri,NO2,74
2015-12-23 08:00:03.640468,Andheri,CO,29
2015-12-23 08:00:03.640468,Andheri,O3,39
2015-12-23 08:00:03.640468,Malad,PM10,177
2015-12-23 08:00:03.640468,Malad,PM2.5,339
2015-12-23 08:00:03.640468,Malad,NO2,201
2015-12-23 08:00:03.640468,Malad,CO,
2015-12-23 08:00:03.640468,Malad,O3,54
2015-12-23 08:00:03.640468,Bhandup,PM10,138
2015-12-23 08:00:03.640468,Bhandup,PM2.5,245
2015-12-23 08:00:03.640468,Bhandup,NO2,76
2015-12-23 08:00:03.640468,Bhandup,CO,29
2015-12-23 08:00:03.640468,Bhandup,O3,72
2015-12-23 08:00:03.640468,Colaba,PM10,117
2015-12-23 08:00:03.640468,Colaba,PM2.5,163
2015-12-23 08:00:03.640468,Colaba,NO2,19
2015-12-23 08:00:03.640468,Colaba,CO,29
2015-12-23 08:00:03.640468,Colaba,O3,83
2015-12-23 12:00:03.964015,Mazagaon,PM10,116
2015-12-23 12:00:03.964015,Mazagaon,PM2.5,211
2015-12-23 12:00:03.964015,Mazagaon,NO2,172
2015-12-23 12:00:03.964015,Mazagaon,CO,29
2015-12-23 12:00:03.964015,Mazagaon,O3,70
2015-12-23 12:00:03.964015,Worali,PM10,136
2015-12-23 12:00:03.964015,Worali,PM2.5,266
2015-12-23 12:00:03.964015,Worali,NO2,48
2015-12-23 12:00:03.964015,Worali,CO,29
2015-12-23 12:00:03.964015,Worali,O3,92
2015-12-23 12:00:03.964015,BKC,PM10,132
2015-12-23 12:00:03.964015,BKC,PM2.5,252
2015-12-23 12:00:03.964015,BKC,NO2,166
2015-12-23 12:00:03.964015,BKC,CO,
2015-12-23 12:00:03.964015,BKC,O3,31
2015-12-23 12:00:03.964015,Borivali,PM10,146
2015-12-23 12:00:03.964015,Borivali,PM2.5,297
2015-12-23 12:00:03.964015,Borivali,NO2,76
2015-12-23 12:00:03.964015,Borivali,CO,29
2015-12-23 12:00:03.964015,Borivali,O3,83
2015-12-23 12:00:03.964015,Chembur,PM10,175
2015-12-23 12:00:03.964015,Chembur,PM2.5,306
2015-12-23 12:00:03.964015,Chembur,NO2,60
2015-12-23 12:00:03.964015,Chembur,CO,29
2015-12-23 12:00:03.964015,Chembur,O3,100
2015-12-23 12:00:03.964015,Andheri,PM10,177
2015-12-23 12:00:03.964015,Andheri,PM2.5,326
2015-12-23 12:00:03.964015,Andheri,NO2,74
2015-12-23 12:00:03.964015,Andheri,CO,29
2015-12-23 12:00:03.964015,Andheri,O3,39
2015-12-23 12:00:03.964015,Malad,PM10,181
2015-12-23 12:00:03.964015,Malad,PM2.5,342
2015-12-23 12:00:03.964015,Malad,NO2,201
2015-12-23 12:00:03.964015,Malad,CO,
2015-12-23 12:00:03.964015,Malad,O3,74
2015-12-23 12:00:03.964015,Bhandup,PM10,145
2015-12-23 12:00:03.964015,Bhandup,PM2.5,266
2015-12-23 12:00:03.964015,Bhandup,NO2,76
2015-12-23 12:00:03.964015,Bhandup,CO,29
2015-12-23 12:00:03.964015,Bhandup,O3,83
2015-12-23 12:00:03.964015,Colaba,PM10,120
2015-12-23 12:00:03.964015,Colaba,PM2.5,173
2015-12-23 12:00:03.964015,Colaba,NO2,21
2015-12-23 12:00:03.964015,Colaba,CO,29
2015-12-23 12:00:03.964015,Colaba,O3,98
2015-12-23 16:00:03.338362,Mazagaon,PM10,116
2015-12-23 16:00:03.338362,Mazagaon,PM2.5,211
2015-12-23 16:00:03.338362,Mazagaon,NO2,172
2015-12-23 16:00:03.338362,Mazagaon,CO,29
2015-12-23 16:00:03.338362,Mazagaon,O3,70
2015-12-23 16:00:03.338362,Worali,PM10,138
2015-12-23 16:00:03.338362,Worali,PM2.5,280
2015-12-23 16:00:03.338362,Worali,NO2,48
2015-12-23 16:00:03.338362,Worali,CO,29
2015-12-23 16:00:03.338362,Worali,O3,74
2015-12-23 16:00:03.338362,BKC,PM10,134
2015-12-23 16:00:03.338362,BKC,PM2.5,262
2015-12-23 16:00:03.338362,BKC,NO2,170
2015-12-23 16:00:03.338362,BKC,CO,29
2015-12-23 16:00:03.338362,BKC,O3,21
2015-12-23 16:00:03.338362,Borivali,PM10,149
2015-12-23 16:00:03.338362,Borivali,PM2.5,293
2015-12-23 16:00:03.338362,Borivali,NO2,79
2015-12-23 16:00:03.338362,Borivali,CO,
2015-12-23 16:00:03.338362,Borivali,O3,29
2015-12-23 16:00:03.338362,Chembur,PM10,178
2015-12-23 16:00:03.338362,Chembur,PM2.5,309
2015-12-23 16:00:03.338362,Chembur,NO2,64
2015-12-23 16:00:03.338362,Chembur,CO,29
2015-12-23 16:00:03.338362,Chembur,O3,39
2015-12-23 16:00:03.338362,Andheri,PM10,177
2015-12-23 16:00:03.338362,Andheri,PM2.5,326
2015-12-23 16:00:03.338362,Andheri,NO2,74
2015-12-23 16:00:03.338362,Andheri,CO,29
2015-12-23 16:00:03.338362,Andheri,O3,39
2015-12-23 16:00:03.338362,Malad,PM10,185
2015-12-23 16:00:03.338362,Malad,PM2.5,346
2015-12-23 16:00:03.338362,Malad,NO2,202
2015-12-23 16:00:03.338362,Malad,CO,
2015-12-23 16:00:03.338362,Malad,O3,59
2015-12-23 16:00:03.338362,Bhandup,PM10,155
2015-12-23 16:00:03.338362,Bhandup,PM2.5,301
2015-12-23 16:00:03.338362,Bhandup,NO2,79
2015-12-23 16:00:03.338362,Bhandup,CO,29
2015-12-23 16:00:03.338362,Bhandup,O3,78
2015-12-23 16:00:03.338362,Colaba,PM10,124
2015-12-23 16:00:03.338362,Colaba,PM2.5,187
2015-12-23 16:00:03.338362,Colaba,NO2,24
2015-12-23 16:00:03.338362,Colaba,CO,29
2015-12-23 16:00:03.338362,Colaba,O3,97
2015-12-23 20:00:03.676904,Mazagaon,PM10,116
2015-12-23 20:00:03.676904,Mazagaon,PM2.5,211
2015-12-23 20:00:03.676904,Mazagaon,NO2,172
2015-12-23 20:00:03.676904,Mazagaon,CO,29
2015-12-23 20:00:03.676904,Mazagaon,O3,70
2015-12-23 20:00:03.676904,Worali,PM10,140
2015-12-23 20:00:03.676904,Worali,PM2.5,286
2015-12-23 20:00:03.676904,Worali,NO2,48
2015-12-23 20:00:03.676904,Worali,CO,29
2015-12-23 20:00:03.676904,Worali,O3,54
2015-12-23 20:00:03.676904,BKC,PM10,136
2015-12-23 20:00:03.676904,BKC,PM2.5,273
2015-12-23 20:00:03.676904,BKC,NO2,172
2015-12-23 20:00:03.676904,BKC,CO,29
2015-12-23 20:00:03.676904,BKC,O3,20
2015-12-23 20:00:03.676904,Borivali,PM10,150
2015-12-23 20:00:03.676904,Borivali,PM2.5,283
2015-12-23 20:00:03.676904,Borivali,NO2,81
2015-12-23 20:00:03.676904,Borivali,CO,29
2015-12-23 20:00:03.676904,Borivali,O3,11
2015-12-23 20:00:03.676904,Chembur,PM10,180
2015-12-23 20:00:03.676904,Chembur,PM2.5,310
2015-12-23 20:00:03.676904,Chembur,NO2,62
2015-12-23 20:00:03.676904,Chembur,CO,29
2015-12-23 20:00:03.676904,Chembur,O3,23
2015-12-23 20:00:03.676904,Andheri,PM10,177
2015-12-23 20:00:03.676904,Andheri,PM2.5,326
2015-12-23 20:00:03.676904,Andheri,NO2,74
2015-12-23 20:00:03.676904,Andheri,CO,29
2015-12-23 20:00:03.676904,Andheri,O3,39
2015-12-23 20:00:03.676904,Malad,PM10,189
2015-12-23 20:00:03.676904,Malad,PM2.5,350
2015-12-23 20:00:03.676904,Malad,NO2,202
2015-12-23 20:00:03.676904,Malad,CO,29
2015-12-23 20:00:03.676904,Malad,O3,22
2015-12-23 20:00:03.676904,Bhandup,PM10,155
2015-12-23 20:00:03.676904,Bhandup,PM2.5,300
2015-12-23 20:00:03.676904,Bhandup,NO2,79
2015-12-23 20:00:03.676904,Bhandup,CO,29
2015-12-23 20:00:03.676904,Bhandup,O3,51
2015-12-23 20:00:03.676904,Colaba,PM10,126
2015-12-23 20:00:03.676904,Colaba,PM2.5,194
2015-12-23 20:00:03.676904,Colaba,NO2,26
2015-12-23 20:00:03.676904,Colaba,CO,29
2015-12-23 20:00:03.676904,Colaba,O3,69
2015-12-24 00:00:04.005721,Mazagaon,PM10,116
2015-12-24 00:00:04.005721,Mazagaon,PM2.5,211
2015-12-24 00:00:04.005721,Mazagaon,NO2,172
2015-12-24 00:00:04.005721,Mazagaon,CO,29
2015-12-24 00:00:04.005721,Mazagaon,O3,70
2015-12-24 00:00:04.005721,Worali,PM10,140
2015-12-24 00:00:04.005721,Worali,PM2.5,286
2015-12-24 00:00:04.005721,Worali,NO2,48
2015-12-24 00:00:04.005721,Worali,CO,29
2015-12-24 00:00:04.005721,Worali,O3,54
2015-12-24 00:00:04.005721,BKC,PM10,136
2015-12-24 00:00:04.005721,BKC,PM2.5,273
2015-12-24 00:00:04.005721,BKC,NO2,172
2015-12-24 00:00:04.005721,BKC,CO,29
2015-12-24 00:00:04.005721,BKC,O3,20
2015-12-24 00:00:04.005721,Borivali,PM10,150
2015-12-24 00:00:04.005721,Borivali,PM2.5,283
2015-12-24 00:00:04.005721,Borivali,NO2,81
2015-12-24 00:00:04.005721,Borivali,CO,29
2015-12-24 00:00:04.005721,Borivali,O3,11
2015-12-24 00:00:04.005721,Chembur,PM10,180
2015-12-24 00:00:04.005721,Chembur,PM2.5,310
2015-12-24 00:00:04.005721,Chembur,NO2,62
2015-12-24 00:00:04.005721,Chembur,CO,29
2015-12-24 00:00:04.005721,Chembur,O3,23
2015-12-24 00:00:04.005721,Andheri,PM10,177
2015-12-24 00:00:04.005721,Andheri,PM2.5,326
2015-12-24 00:00:04.005721,Andheri,NO2,74
2015-12-24 00:00:04.005721,Andheri,CO,29
2015-12-24 00:00:04.005721,Andheri,O3,39
2015-12-24 00:00:04.005721,Malad,PM10,189
2015-12-24 00:00:04.005721,Malad,PM2.5,350
2015-12-24 00:00:04.005721,Malad,NO2,202
2015-12-24 00:00:04.005721,Malad,CO,29
2015-12-24 00:00:04.005721,Malad,O3,22
2015-12-24 00:00:04.005721,Bhandup,PM10,155
2015-12-24 00:00:04.005721,Bhandup,PM2.5,300
2015-12-24 00:00:04.005721,Bhandup,NO2,79
2015-12-24 00:00:04.005721,Bhandup,CO,29
2015-12-24 00:00:04.005721,Bhandup,O3,51
2015-12-24 00:00:04.005721,Colaba,PM10,126
2015-12-24 00:00:04.005721,Colaba,PM2.5,194
2015-12-24 00:00:04.005721,Colaba,NO2,26
2015-12-24 00:00:04.005721,Colaba,CO,29
2015-12-24 00:00:04.005721,Colaba,O3,69
2015-12-24 04:00:03.295938,Mazagaon,PM10,116
2015-12-24 04:00:03.295938,Mazagaon,PM2.5,211
2015-12-24 04:00:03.295938,Mazagaon,NO2,172
2015-12-24 04:00:03.295938,Mazagaon,CO,29
2015-12-24 04:00:03.295938,Mazagaon,O3,70
2015-12-24 04:00:03.295938,Worali,PM10,113
2015-12-24 04:00:03.295938,Worali,PM2.5,180
2015-12-24 04:00:03.295938,Worali,NO2,43
2015-12-24 04:00:03.295938,Worali,CO,29
2015-12-24 04:00:03.295938,Worali,O3,14
2015-12-24 04:00:03.295938,BKC,PM10,132
2015-12-24 04:00:03.295938,BKC,PM2.5,256
2015-12-24 04:00:03.295938,BKC,NO2,170
2015-12-24 04:00:03.295938,BKC,CO,
2015-12-24 04:00:03.295938,BKC,O3,21
2015-12-24 04:00:03.295938,Borivali,PM10,151
2015-12-24 04:00:03.295938,Borivali,PM2.5,280
2015-12-24 04:00:03.295938,Borivali,NO2,101
2015-12-24 04:00:03.295938,Borivali,CO,29
2015-12-24 04:00:03.295938,Borivali,O3,11
2015-12-24 04:00:03.295938,Chembur,PM10,182
2015-12-24 04:00:03.295938,Chembur,PM2.5,312
2015-12-24 04:00:03.295938,Chembur,NO2,62
2015-12-24 04:00:03.295938,Chembur,CO,29
2015-12-24 04:00:03.295938,Chembur,O3,23
2015-12-24 04:00:03.295938,Andheri,PM10,177
2015-12-24 04:00:03.295938,Andheri,PM2.5,326
2015-12-24 04:00:03.295938,Andheri,NO2,74
2015-12-24 04:00:03.295938,Andheri,CO,29
2015-12-24 04:00:03.295938,Andheri,O3,39
2015-12-24 04:00:03.295938,Malad,PM10,177
2015-12-24 04:00:03.295938,Malad,PM2.5,338
2015-12-24 04:00:03.295938,Malad,NO2,181
2015-12-24 04:00:03.295938,Malad,CO,
2015-12-24 04:00:03.295938,Malad,O3,4
2015-12-24 04:00:03.295938,Bhandup,PM10,154
2015-12-24 04:00:03.295938,Bhandup,PM2.5,297
2015-12-24 04:00:03.295938,Bhandup,NO2,81
2015-12-24 04:00:03.295938,Bhandup,CO,29
2015-12-24 04:00:03.295938,Bhandup,O3,31
2015-12-24 04:00:03.295938,Colaba,PM10,119
2015-12-24 04:00:03.295938,Colaba,PM2.5,167
2015-12-24 04:00:03.295938,Colaba,NO2,26
2015-12-24 04:00:03.295938,Colaba,CO,29
2015-12-24 04:00:03.295938,Colaba,O3,33
2015-12-24 08:00:04.164231,Mazagaon,PM10,116
2015-12-24 08:00:04.164231,Mazagaon,PM2.5,211
2015-12-24 08:00:04.164231,Mazagaon,NO2,172
2015-12-24 08:00:04.164231,Mazagaon,CO,29
2015-12-24 08:00:04.164231,Mazagaon,O3,70
2015-12-24 08:00:04.164231,Worali,PM10,117
2015-12-24 08:00:04.164231,Worali,PM2.5,198
2015-12-24 08:00:04.164231,Worali,NO2,43
2015-12-24 08:00:04.164231,Worali,CO,29
2015-12-24 08:00:04.164231,Worali,O3,70
2015-12-24 08:00:04.164231,BKC,PM10,128
2015-12-24 08:00:04.164231,BKC,PM2.5,242
2015-12-24 08:00:04.164231,BKC,NO2,166
2015-12-24 08:00:04.164231,BKC,CO,29
2015-12-24 08:00:04.164231,BKC,O3,29
2015-12-24 08:00:04.164231,Borivali,PM10,151
2015-12-24 08:00:04.164231,Borivali,PM2.5,280
2015-12-24 08:00:04.164231,Borivali,NO2,79
2015-12-24 08:00:04.164231,Borivali,CO,29
2015-12-24 08:00:04.164231,Borivali,O3,68
2015-12-24 08:00:04.164231,Chembur,PM10,182
2015-12-24 08:00:04.164231,Chembur,PM2.5,312
2015-12-24 08:00:04.164231,Chembur,NO2,62
2015-12-24 08:00:04.164231,Chembur,CO,
2015-12-24 08:00:04.164231,Chembur,O3,89
2015-12-24 08:00:04.164231,Andheri,PM10,177
2015-12-24 08:00:04.164231,Andheri,PM2.5,326
2015-12-24 08:00:04.164231,Andheri,NO2,74
2015-12-24 08:00:04.164231,Andheri,CO,29
2015-12-24 08:00:04.164231,Andheri,O3,39
2015-12-24 08:00:04.164231,Malad,PM10,169
2015-12-24 08:00:04.164231,Malad,PM2.5,330
2015-12-24 08:00:04.164231,Malad,NO2,164
2015-12-24 08:00:04.164231,Malad,CO,
2015-12-24 08:00:04.164231,Malad,O3,51
